利用年月日,定期,鉄道会社名,入場駅/事業者名,定期,鉄道会社名,出場駅/降車場所,利用額(円),残額(円),メモ
2020/04/06,,,,,,,374,1775,物販
2020/04/06,,,,,,,136,2149,物販
2020/03/24,,東武,新鎌ヶ谷,,東武,江戸川台,314,2285,
2020/03/23,,京成,空港第２ビル,,北総,新鎌ヶ谷,922,2599,
2020/03/23,,京成,空港第２ビル,,,,-3000,3521,ｵｰﾄﾁｬｰｼﾞ
2020/03/23,,,,,,,700,521,物販
2020/03/23,,,,,,,200,1221,物販
2020/03/21,,北総,新鎌ヶ谷,,京成,空港第２ビル,922,1421,
2020/03/21,,,,,,,233,2343,物販
2020/03/21,,東武,流山おおたかの森,,東武,新鎌ヶ谷,251,2576,
2020/03/21,,東武,江戸川台,,東武,流山おおたかの森,147,2827,
2020/03/11,,,,,,,151,2974,物販
2020/03/10,,,,,,,90,3125,物販
2020/03/10,,,,,,,759,3215,物販
2020/03/07,,東武,流山おおたかの森,,東武,江戸川台,147,3974,
2020/03/07,,東武,江戸川台,,,,-3000,4121,ｵｰﾄﾁｬｰｼﾞ
2020/03/07,,東武,柏,,東武,流山おおたかの森,168,1121,
2020/03/07,,東ﾒﾄﾛ,表参道,,JR東,柏,638,1289,
2020/03/07,,,,,,,570,1927,物販
2020/03/07,,東ﾒﾄﾛ,北千住,,東ﾒﾄﾛ,表参道,0,2497,
